mode,num_producers,throughput_mps
lock,1,1428344.707189
lock,2,684832.756632
lock,4,910321.646982
lock,8,881312.821428
lock,16,912780.651346
lock,32,810276.027260
lock,1,1475409.836066
lock,2,689054.906796
lock,4,945683.802134
lock,8,914298.941034
lock,1,1327825.317203
lock,1,1741486.068111
lock,1,1321779.997063
lock,2,679445.000715
lock,2,641371.860654
lock,2,684758.712654
lock,4,907715.582451
lock,4,905649.861830
lock,4,918533.173179
lock,8,899720.972610
lock,8,910904.331984
lock,8,904977.375566
lock,16,960638.008640
lock,16,958888.413130
lock,16,951372.309681
lock,32,937242.919262
lock,32,936225.163619
lock,32,933903.629343
