mode,num_producers,throughput_mps
notify,1,1493775.933610
notify,1,1814150.372909
notify,1,1472754.050074
notify,2,629576.858080
notify,2,664544.646917
notify,2,666058.613195
notify,4,175757.184582
notify,4,175366.499964
notify,4,175332.822176
notify,1,1467710.371820
notify,1,1670068.658378
notify,1,1522070.015221
notify,2,601568.280404
notify,2,636921.323455
notify,2,642543.084207
notify,4,178514.210644
notify,4,178007.683072
notify,4,178428.527637
notify,8,113171.163374
notify,8,112327.801149
notify,8,111341.313921
notify,16,34929.911766
notify,16,32988.789336
notify,16,29185.216167
notify,32,16660.429159
notify,32,16653.109042
notify,32,16667.606787
