mode,num_producers,throughput_mps
optimized,1,1761597.181445
optimized,1,1907992.368031
optimized,1,1894736.842105
optimized,2,3162450.066578
optimized,2,2953520.752371
optimized,2,3194351.042367
optimized,4,2848742.804967
optimized,4,2881500.628187
optimized,4,2927265.480748
optimized,8,2369253.442121
optimized,8,2336672.149577
optimized,8,2328512.794057
optimized,16,1951253.000810
optimized,16,2006088.345509
optimized,16,1985379.122183
optimized,32,1206309.110092
optimized,32,1208498.128533
optimized,32,1212526.654681
